journal_entry,burnout_score,nutrition_score,activity_score,productivity_score,stress_score
"Personal Reflection: Today, despite feeling exhausted after working a long shift, I managed to tackle several tasks and check them all off without missing any important deadlines. I ate a balanced breakfast consisting of whole grain cereal and fresh fruit, and felt refreshed after the quick break.",16.31,0.51,0.27,0.36,0.59
"Sure! Here's my 2-sentence personal reflection today:  After a long but productive day at work, it felt like nothing had really changed yet. Balanced meals were still being prepared, and sitting down to eat them every night seemed to have become an accepted routine that didn't require any extra effort.",38.19,0.61,-0.6,0.31,-0.18
"Today, I woke up feeling exhausted after working on multiple projects all weekend long. The sun had just risen over the horizon, casting its warm rays into our room.",45.71,0.69,0.27,0.24,0.54
"Yesterday felt exhausting but motivating today. The alarm rang early, signaling that it would be a full-day work session.",52.03,0.9,0.64,0.08,0.69
"Yesterday, after a restful night's sleep, I refreshed myself slowly but surely throughout the morning routine. A daily walk followed by some light cardio exercises kept me energized until lunchtime when I indulged in freshly prepared vegan soup and a nutrient-dense salad filled with colorful fruits and greens.",47.93,0.96,0.67,0.43,0.86
"During my average short-day today, it felt like an eternity before finally starting to make headway on a few important tasks that had been looming over my desk since last weekend. As I moved around more than usual during the course of the day (but not too much), I tried to maintain balance by eating a more wholesome breakfast - including some fresh fruit, whole grain cereal, and avocado - and also drinking water throughout the morning.",57.87,0.42,0.08,0.27,0.4
"This is my daily routine today. As I woke up to another normal morning, I realized that everything was quiet except for the sound of birds chirping outside my window.",68.53,1.0,0.25,0.61,0.48
"During today's typical working day, my body felt calm and in control despite feeling slightly stressed by the early morning rush-hour commute. Despite moving about a little bit, most days were spent sitting at my desk, surrounded by healthy food choices that helped fuel my productive mindset throughout the day.",79.11,0.75,0.2,0.3,0.56
"Sitting at my desk today felt like a breeze compared to yesterday's grueling schedule of deadlines and meetings. I managed to get everything done without feeling rushed, even if it meant skipping some of my usual activities.",6.19,1.0,0.63,0.57,0.72
"This morning, after a restful slumber, I woke up refreshed but eagerly awaited the promise of fresh air and sunshine that came with my daily routine. As I made my way outdoors, my mind began to clear, feeling grounded and focused once again.",6.93,1.0,0.68,0.64,0.81
"Today was a productive and enjoyable workday for me! The sun shone brightly through my window this morning, casting warm rays across my face as I stepped out of bed. As I began my morning routine (balanced meal, regular exercise), I felt refreshed and energized, ready to tackle another long day at work ahead.",13.19,1.0,0.63,0.67,0.77
"In today's typical routine, I felt focused yet exhausted after completing my daily to-do list while checking off most of them without taking breaks or indulging in unhealthy snacks. My mind remained clear and present throughout the day, allowing me to move more freely around without feeling overwhelmed by physical exhaustion.",15.33,0.48,0.16,0.59,0.58
"Yesterday, I woke up feeling energized after getting an adequate amount of restful sleep, which helped to boost my mood. During the morning routine, I made sure to consume healthy breakfast options that included fruits, whole grains, and lean proteins such as eggs, beans, and chicken breast.",25.42,0.98,0.07,0.73,0.41
"During my routine daily morning rituals, I found myself feeling uneasy and restless. My eyes were sore from staring at screens all day long, and my back felt tight and knotted after hours of sitting in front of computers.",37.41,0.45,-0.24,0.34,-0.03
"Yesterday, while working through long hours of study, my mind felt weighed down by stress and overwhelm. As soon as I stepped away from my desk, however, a sense of calm enveloped me, which allowed me to focus on completing assigned tasks more efficiently than usual.",36.71,0.96,0.71,0.46,0.89
"Yesterday, I had a productive day that allowed me to complete my routine daily activities while ensuring that I maintained a balanced diet. My morning started early as usual, but this time, instead of rushing out for breakfast like usual, I made myself a smoothie from fresh fruits and vegetables.",41.72,0.9,0.31,0.63,0.67
"Today, despite feeling exhausted after a long workday, I focused on completing all my daily to-do lists. Despite being a little tired, I remained productive throughout the entire morning by focusing on checking off tasks efficiently.",47.42,0.72,-0.05,0.58,0.47
"Suddenly, your mind began to race with thoughts that you didn't even have time for today. As soon as you sat up from your desk, you knew that it wouldn't be easy to get back on track after such a long stretch.",59.68,-0.17,-0.81,0.04,-0.06
"Yesterday, despite feeling fatigued after an early morning shift at work, I managed to complete several important tasks before heading out for a run. With each passing mile, my energy levels began to rise, and I felt more alert than usual.",5.42,0.96,0.75,0.55,0.84
"Yesterday, I spent my morning working towards completing all of my tasks while ensuring that each task was completed to perfection. While doing so, I made sure to take breaks when needed, eat balanced meals consisting mainly of healthy ingredients, refreshed from a good night's sleep, focused on work throughout the day, checked off most tasks, felt calm and in control during this time, moved around a bit but primarily sat down during lunchtime, and left feeling satisfied with what had been accomplished today.",15.79,0.49,0.26,0.34,0.56
"Yesterday, I spent my entire working day focusing on completing various tasks that required heavy lifts, repetitive motions, and long hours of standing up straight. This wasn't something new; it had become an almost daily routine for me over time.",12.06,1.0,0.58,0.41,0.85
"Sure thing! Today has been quite eventful so far; we had some minor setbacks but eventually got everything sorted out without any major problems. Aside from that, I’ve spent most of my time working long hours.",13.74,0.88,0.56,0.33,0.75
